hotel,Price,rating,reviews,loc
,,,,
Al Waha Palace Hotel,SAR307 ,7.8,"2,098 reviews",1.8 km from center
,,,,
Voyage Hotel,SAR466 ,8.6,"4,111 reviews",3.8 km from center
,,,,
Carawan Al Fahad Hotel,SAR350 ,8.1,"2,299 reviews",2 km from center
,,,,
Gloria Inn Riyadh,SAR326 ,7.9,"4,054 reviews",8.1 km from center
,,,,
Rest Night Hotel Suites- - AL Nafal,SAR250 ,7.4,"2,158 reviews",9.8 km from center
,,,,
"Burj Rafal Riyadh, a Marriott International Hotel",SAR990 ,7.8,"4,674 reviews",11.9 km from center
,,,,
Grand Plaza Hotel-Dhabab Riyadh,SAR350 ,7.8,"1,008 reviews",4.3 km from center
,,,,
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",SAR925 ,8.8,"2,250 reviews",6.7 km from center
,,,,
Executives Hotel - Olaya,SAR444.19 ,7.9,"5,686 reviews",1.5 km from center
,,,,
Art View Hotel Al Riyadh,SAR513 ,8.1,"1,906 reviews",7.7 km from center
,,,,
Roof Hotel Apartments,SAR399 ,8.1,457 reviews,11.2 km from center
,,,,
Sheraton Riyadh Hotel & Towers,SAR650 ,7.9,972 reviews,3.9 km from center
,,,,
"The Ritz-Carlton, Riyadh","SAR1,499 ",8.6,"3,435 reviews",6 km from center
,,,,
Al Mashreq Boutique Hotel – Small Luxury Hotels of the World,SAR783 ,7.9,"1,784 reviews",2.8 km from center
,,,,
Ibis Riyadh Olaya Street,SAR325 ,6.6,"4,333 reviews",1.9 km from center
,,,,
Novotel Riyadh Al Anoud,SAR475 ,7.2,"3,117 reviews",1.4 km from center
,,,,
"Holiday Inn Riyadh Izdihar, an IHG Hotel",SAR570 ,7.7,"1,669 reviews",10.8 km from center
,,,,
"Crowne Plaza Riyadh Al Waha, an IHG Hotel",SAR473 ,7.5,"1,861 reviews",6.9 km from center
,,,,
Hilton Garden Inn Riyadh Olaya,SAR410 ,7.1,639 reviews,2.5 km from center
,,,,
Courtyard by Marriott Riyadh Olaya,SAR775 ,8.3,"2,897 reviews",800 m from center
,,,,
Courtyard by Marriott Riyadh Northern Ring Road,SAR600 ,8.1,"1,155 reviews",7.9 km from center
,,,,
Braira Olaya,SAR588 ,8.6,"3,385 reviews",1.4 km from center
,,,,
Courtyard Riyadh by Marriott Diplomatic Quarter,SAR650 ,8.1,"2,440 reviews",6.6 km from center
,,,,
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,SAR698 ,7.6,"3,393 reviews",7.9 km from center
,,,,
"Crowne Plaza Hotel Riyadh Minhal, an IHG Hotel",SAR460 ,8.7,"1,334 reviews",3.8 km from center
,,,,
"Radisson Blu Hotel, Riyadh",SAR560 ,7.8,"2,152 reviews",4.7 km from center
,,,,
Aswar Hotel Suites Riyadh,SAR638 ,8.5,"1,465 reviews",12.2 km from center
,,,,
"Holiday Inn Meydan, an IHG Hotel",SAR475 ,7.6,"2,542 reviews",2.2 km from center
,,,,
Novotel Suites Riyadh Olaya,SAR400 ,7.2,"1,602 reviews",1.6 km from center
,,,,
Grand Plaza Gulf Hotel - Riyadh,SAR399 ,8,"3,136 reviews",4 km from center
,,,,
Grand Plaza Hotel-Dhabab Riyadh,SAR350 ,7.8,"1,008 reviews",4.3 km from center
,,,,
Rest Night Hotel Suites- - AL Nafal,SAR250 ,7.4,"2,158 reviews",9.8 km from center
,,,,
Melissa Hotel Riyadh,SAR350 ,8.1,"1,886 reviews",12.4 km from center
,,,,
Ramada by Wyndham Hotel Riyadh,SAR347 ,7.2,"1,862 reviews",4.3 km from center
,,,,
Hilton Garden Inn Riyadh Olaya,SAR410 ,7.1,640 reviews,2.5 km from center
,,,,
OYO 123 Dome El Nozha,SAR252 ,7.1,"1,906 reviews",7.9 km from center
,,,,
Braira Qurtubah,SAR551 ,8.1,"5,461 reviews",14.9 km from center
,,,,
Roof Hotel Apartments,SAR399 ,8.1,457 reviews,11.2 km from center
,,,,
IntercityHotel Riyadh Malaz,SAR425 ,8,"2,619 reviews",6.2 km from center
,,,,
Hyatt Regency Riyadh Olaya,"SAR1,305 ",8.4,"6,997 reviews",0.4 km from center
,,,,
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",SAR925 ,8.8,"2,250 reviews",6.7 km from center
,,,,
Almasem Luxury Hotel suite 6,SAR250 ,7.6,535 reviews,11.4 km from center
,,,,
Coral Olaya Hotel,SAR267.81 ,6.9,"1,780 reviews",2.7 km from center
,,,,
Towlan Al Rawdah,SAR230 ,7.3,972 reviews,9.8 km from center
,,,,
Courtyard by Marriott Riyadh Northern Ring Road,SAR600 ,8.1,"1,155 reviews",7.9 km from center
,,,,
"voco - Riyadh, an IHG Hotel",SAR808 ,8.3,"2,339 reviews",3.6 km from center
,,,,
Carawan Al Fahad Hotel,SAR350 ,8.1,"2,299 reviews",2 km from center
,,,,
Braira AL Wezarat,SAR425 ,8.4,"2,841 reviews",4.4 km from center
,,,,
فيناس للشقق الفندقية,SAR240 ,7.1,212 reviews,13.1 km from center
,,,,
Olian Hotel,SAR419.65 ,7.6,"2,073 reviews",12.5 km from center
,,,,
Motiara Hotel - La Valle Mall,SAR513 ,8.1,762 reviews,10 km from center
,,,,
Hyatt Place Riyadh Sulaimania,SAR585 ,8.6,"1,255 reviews",3.1 km from center
,,,,
Towlan Al Rawdah,SAR230 ,7.3,972 reviews,9.8 km from center
,,,,
Novotel Suites Riyadh Olaya,SAR400 ,7.2,"1,602 reviews",1.6 km from center
,,,,
Centro Olaya by Rotana,SAR675 ,7.9,"4,167 reviews",0.4 km from center
,,,,
Madareem Crown Hotel,SAR642 ,7.2,652 reviews,12.2 km from center
,,,,
Rafa - Al Nuzhah,SAR430 ,8.1,"1,268 reviews",7.1 km from center
,,,,
